area,bedrooms,bathrooms,year_built,city,has_garage,house_type,price
80,2,1,2005,Beijing,yes,apartment,120
120,3,2,2012,Shanghai,yes,apartment,220
60,1,1,1998,Guangzhou,no,studio,85
200,4,3,2018,Shenzhen,yes,villa,520
150,3,2,2010,Beijing,no,apartment,260
90,2,1,2003,Shanghai,no,apartment,140
300,5,4,2020,Shenzhen,yes,villa,980
110,3,2,2008,Guangzhou,yes,apartment,200
70,2,1,1995,Beijing,no,studio,95
180,4,2,2015,Shanghai,yes,villa,430
95,2,1,2006,Beijing,yes,apartment,150
130,3,2,2011,Shanghai,no,apartment,210
220,4,3,2019,Shenzhen,yes,villa,800
175,4,2,2013,Beijing,yes,villa,480
140,3,2,2009,Shanghai,no,apartment,300
85,2,1,2001,Guangzhou,no,apartment,130
260,4,3,2021,Shenzhen,yes,villa,920
105,3,2,2004,Guangzhou,no,apartment,190
160,3,2,2014,Beijing,yes,villa,410
210,4,3,2017,Shanghai,yes,apartment,600
